Provider,Date,Duration,Distance,Average Speed,Ascent,Calories,Calories Per Minute,Estimated MET Units
Zeopoxa,04-01-2020,140.78,32.66,13.90,335,1404,9.97,8.11
Zeopoxa,04-04-2020,160.98,35.89,13.40,933,1545,9.60,7.80
Zeopoxa,04-12-2020,114.08,27.06,14.20,631,1162,10.19,8.28
Zeopoxa,04-15-2020,89.25,26.19,17.61,314,1116,12.50,10.16
Zeopoxa,04-18-2020,72.83,15.20,12.52,539,656,9.01,7.32
Zeopoxa,04-21-2020,118.03,27.00,13.72,1043,1161,9.84,8.00
Zeopoxa,04-25-2020,64.50,14.77,13.74,1087,635,9.84,8.00
Zeopoxa,04-26-2020,168.38,41.03,14.62,1149,1760,10.45,8.50
Zeopoxa,04-29-2020,101.18,20.37,12.08,1617,882,8.72,7.09
Zeopoxa,05-02-2020,102.52,20.87,12.21,879,903,8.81,7.16
Zeopoxa,05-03-2020,151.77,40.54,16.03,520,1732,11.41,9.28
Zeopoxa,05-06-2020,217.57,50.49,13.92,1341,2170,9.97,8.11
Zeopoxa,05-09-2020,110.72,23.11,12.52,1847,998,9.01,7.33
Zeopoxa,05-14-2020,124.18,24.78,11.97,1103,1073,8.64,7.02
Zeopoxa,05-23-2020,155.00,32.81,12.70,701,1411,9.10,7.40
Zeopoxa,05-30-2020,146.00,16.32,6.71,628,726,4.97,4.04
Zeopoxa,06-04-2020,158.93,38.42,14.50,862,1648,10.37,8.43
Zeopoxa,06-07-2020,237.38,60.40,15.27,691,2585,10.89,8.85
Zeopoxa,06-28-2020,169.82,40.70,14.38,945,1747,10.29,8.36
Zeopoxa,07-02-2020,89.82,20.18,13.48,321,869,9.68,7.86
Zeopoxa,07-08-2020,133.68,31.93,14.33,667,1371,10.26,8.34
Zeopoxa,07-25-2020,147.00,31.61,12.90,772,1363,9.27,7.54
Zeopoxa,07-30-2020,84.50,15.38,10.92,828,669,7.92,6.44
Zeopoxa,07-31-2020,159.95,36.52,13.70,713,1571,9.82,7.98
Zeopoxa,08-03-2020,214.32,42.54,11.91,1733,1839,8.58,6.97
Under Armour,08-11-2020,138.95,27.81,12.00,2977,1372,9.87,8.03
Under Armour,08-16-2020,312.50,45.00,8.60,4141,1667,5.33,4.34
Under Armour,08-19-2020,78.08,16.41,12.60,553,809,10.36,8.42
Under Armour,08-20-2020,86.83,17.45,12.10,690,861,9.92,8.06
Under Armour,08-24-2020,57.10,16.18,17.00,543,884,15.48,12.58
Under Armour,09-01-2020,175.18,38.01,13.00,1715,1873,10.69,8.69
Under Armour,09-05-2020,82.03,22.57,16.50,313,1226,14.95,12.15
Under Armour,09-06-2020,134.57,30.74,13.70,1006,1563,11.62,9.44
Under Armour,09-09-2020,76.42,22.21,17.40,811,1218,15.94,12.96
Under Armour,09-13-2020,281.95,64.55,13.70,2394,3285,11.65,9.47
Under Armour,09-15-2020,85.30,22.24,15.60,298,1196,14.02,11.40
Under Armour,09-17-2020,172.80,41.38,14.40,1694,2159,12.49,10.16
Under Armour,09-25-2020,281.78,60.87,13.00,2419,2998,10.64,8.65
Under Armour,09-27-2020,123.15,32.25,15.70,426,1736,14.10,11.46
Garmin,09-27-2020,117.70,32.30,16.50,79,1609,13.67,11.11
Garmin,09-25-2020,253.53,58.15,13.80,1683,2863,11.29,9.18
Garmin,09-17-2020,160.57,40.19,15.00,1401,2105,13.11,10.66
Garmin,09-15-2020,83.37,22.31,16.10,96,1073,12.87,10.46
Garmin,09-13-2020,263.35,64.56,14.70,1921,3344,12.70,10.32
Garmin,09-09-2020,75.42,22.41,17.80,34,1157,15.34,12.47
